type,context,query,answer
model-new-cho,且吾发已种种，焉能驰驱簪组之间哉？,簪组,官宦
model-new-trn,逮至国朝，有司闻其名，屡加荐辟，德原固辞不起。,荐辟,推荐并征召
model-new-trn,逮至国朝，有司闻其名，屡加荐辟，德原固辞不起。,固辞,坚决推辞
model-new-blk,客有造竹所者，辄指告之曰：‘此吾直谅多闻之友，何可一日相舍耶？’,造,拜访
model-new-blk,槐里先生蚤世，环堵萧然，所遗惟书史数箧。,蚤,早
model-new-cho,识者谓其胸次洒落，方之陶靖节、林和靖，无不及焉。,方,比作
model-new-cho,母性素严重，而于外家诸孤弟妹，怜爱甚切至。,严重,严肃稳重
model-new-trn,先生少则教之于家塾，长则挈之游江湖，有无欣戚，罔不与居。,少,年少
model-new-trn,先生少则教之于家塾，长则挈之游江湖，有无欣戚，罔不与居。,挈,带领
model-new-trn,先生少则教之于家塾，长则挈之游江湖，有无欣戚，罔不与居。,罔,没有
model-new-blk,元帝被疾，不亲政事，留好音乐。,被,遭受
model-new-blk,竟宁元年，上寝疾，傅昭仪及定陶王常在左右，而皇后、太子希得进见。,希,少
model-new-cho,若乃器人于丝竹鼓鼙之间，则是陈惠、李微高于匡衡，可相国也。,器,器重
model-new-cho,于是上嘿然而笑。,嘿然,沉默
model-new-trn,见定陶王雅素爱幸，今者道路流言，为国生意，以为太子有动摇之议。,爱幸,被宠爱
model-new-trn,见定陶王雅素爱幸，今者道路流言，为国生意，以为太子有动摇之议。,生意,产生疑虑（或：引发忧患之心）
model-new-blk,从攻太原，车驾次常山。常山即昉之故里，因赐羊酒，俾召公侯相与宴饮尽欢，里中父老及尝与游从者咸预焉。,次,停留，驻扎
model-new-blk,因赐羊酒，俾召公侯相与宴饮尽欢，里中父老及尝与游从者咸预焉。,俾,使，让
model-new-cho,遣使分诣河南、东，籍民为兵，凡八丁取一。昉等相率奏曰：“近者分遣使籍河南、东四十余郡之民以为边备，非得已也。,籍,登记，造册登记
model-new-cho,河南生聚复扰于萑蒲。矧当春和，有妨农作。陛下若以明诏既颁，难于反汗，则当续遣使臣，严加戒饬。,萑蒲,盗贼
model-new-trn,昉素与卢多逊善，待之不疑，多逊屡谮昉于上，或以告昉，不之信。,谮,诬陷
model-new-trn,昉素与卢多逊善，待之不疑，多逊屡谮昉于上，或以告昉，不之信。,素,向来，一向
model-new-blk,故事，使外国，赐州县官十员，卖以取资。,故事,按照惯例
model-new-blk,又以废仓为新厩，马息不死。,息,繁殖
model-new-cho,自陈所治三州，非要害地，不足张职，为国家费，不如属之河东。,张,施展
model-new-cho,有吏主仓十年，丹覆其粮，亡三千斛……籍其家，尽得文记，乃权吏所夺。,覆,查核
model-new-trn,若恃权取于仓，罪也。与若期，一月还之。皆顿首谢，及期无敢违。,若,你们
model-new-trn,若恃权取于仓，罪也。与若期，一月还之。皆顿首谢，及期无敢违。,期,约定（时间）
model-new-trn,若恃权取于仓，罪也。与若期，一月还之。皆顿首谢，及期无敢违。,谢,谢罪
model-new-blk,帝召见时等，谕以引咎修省之意，从容语及乏才。,谕,教导（或“指示”）
model-new-blk,时虽无大匡救，而议论恒本忠厚，廷论咸以时为贤。,匡,纠正（或“匡正”“扶正”）
model-new-blk,孚敬谢政，费宏再入，未几卒，时遂独相。,谢政,辞去官职（或“致仕”）
model-new-blk,孚敬谢政，费宏再入，未几卒，时遂独相。,入,入朝为官（或“任职”）
model-new-trn,或廷议不合，率具两端，待帝自择，终未尝显争。,具,陈述
model-new-cho,良久，乃张目而言曰：“昔唐尧著德，巢父洗耳。士故有志，何至相迫乎？”,张目,瞪大眼睛，愤怒
model-new-cho,帝曰：“子陵，我竟不能下汝邪？”于是升舆，叹息而去。,下,使……屈尊
model-new-blk,有人尝认其所著屐，笑曰：“仆著之已败，今家中觅新者备君也。”,著,同“着”，穿
model-new-blk,建武十七年，复特征，不至。,特征,特别征召
model-new-trn,登高岭，绝人迹，为小屋居之，采药服食，妻子皆从其志。,绝,隔绝，远离
model-new-trn,登高岭，绝人迹，为小屋居之，采药服食，妻子皆从其志。,服食,服用药物以养生
model-new-blk,论朝廷之阙失，通阁部之否隔，辨时事之欺罔，虑川陇之反侧。,阙,通“缺”，缺点，过错
model-new-blk,厘剔奸弊，马政一清。,厘,治理，清理
model-new-cho,论朝廷之阙失，通阁部之否隔，辨时事之欺罔，虑川陇之反侧。,反侧,不能安定
model-new-cho,后治建祠之罪，江省独免。咸多其持正之力焉。,多,赞扬
model-new-trn,值册封鲁藩之差事竣，具疏缴节，以疾请休，不允。,竣,完成
model-new-blk,一日晌午，谍报敌骑至。旋见一白酋督印度卒约百人，英将也，驰而前。,旋,不久
model-new-blk,婉贞于是率诸少年结束而出，皆玄衣白刃，剽疾如猿猴。,结束,装束
model-new-cho,婉贞独戚然曰：“小敌去，大敌来矣，设以炮至，吾村不齑粉乎?,戚然,担忧
model-new-cho,婉贞挥刀奋斫，所当无不披靡，敌乃纷退。,斫,砍
model-new-trn,去村四里有森林，阴翳蔽日，伏焉。未几，敌兵果舁炮至，盖五六百人也。,去,距离
model-new-trn,去村四里有森林，阴翳蔽日，伏焉。未几，敌兵果舁炮至，盖五六百人也。,舁,抬
model-new-trn,去村四里有森林，阴翳蔽日，伏焉。未几，敌兵果舁炮至，盖五六百人也。,焉,兼词，于此
model-new-blk,然亦用是得过于上官。上官诬以罪，而君乃罢去。,用,因为、由于
model-new-blk,民皆戴大府而不知君之为阴德也。然君终不自言。,戴,感戴、爱戴
model-new-cho,民于是创为生祠，岁时率子弟罗拜其下，称觥为君寿。,称觥,举杯祝寿
model-new-cho,寇贼环境，民困于悉索，而君拊循之，如恐不至。,悉索,竭力搜刮
model-new-trn,以君之既去而民思之如此，则知君之德常在民也。,德,恩德、德政
model-new-blk,然长蘅之生平，孝于亲，友于兄弟，澹荡于荣利，而**笃**挚于君臣朋友，则世未必尽知之也。,笃,深厚
model-new-blk,长蘅事母，色养甚备。敬其长兄，抚其弟妹若侄，绝甘分少，皆人所难能者。,备,周到
model-new-cho,才气宏放，不可绁羁。,绁羁,束缚
model-new-cho,病且革，闻余被放，抚枕叹诧。亡何，遂不起，崇祯二年之正月也。,革,危急
model-new-trn,当是时，长蘅之年渐长，而又以为不逮其父，虽桥褐趋时，其中固已不能无厌薄之矣。,逮,及、比得上
model-new-trn,当是时，长蘅之年渐长，而又以为不逮其父，虽桥褐趋时，其中固已不能无厌薄之矣。,厌薄,厌弃轻视
model-new-blk,天宝之乱，发人为兵，持弓矢十三年，有官勋弃之来归丧其土田手镘衣食。,发,征调
model-new-blk,然人不可遍为，宜乎各致其能以相生也。任有大小，惟其所能。,致,尽
model-new-cho,舍于市之主人，而归其屋食之当焉。,归,支付
model-new-cho,非强心以智而不足，不择其才之称否而冒之者邪？,冒,贪求
model-new-trn,功大者，其所以自奉也博。妻与子皆养于我者也，吾能薄而功小，不有之可也。,博,丰富
model-new-trn,功大者，其所以自奉也博。妻与子皆养于我者也，吾能薄而功小，不有之可也。,薄,微弱
model-new-blk,时边烽甚急，公上筹八事，虽忤权幸，而卒多施行，公辅之望日隆。,忤,触犯
model-new-blk,瑾衔韩不已，必欲置之死无敢言者又欲以他事中内阁刘谢二公公前后力救之,衔,怀恨
model-new-cho,公自幼颖悟不凡，十六读书太学，太学诸生争传诵其文，一时先达名流咸屈年行求为友。,屈,降低身份
model-new-cho,瑾意愈咈，众虞祸且不测。,虞,担忧
model-new-trn,瑾骄悖日甚，毒流缙绅。公遏之不能得，居常戚然。,日甚,一天比一天严重
model-new-trn,瑾骄悖日甚，毒流缙绅。公遏之不能得，居常戚然。,戚然,忧愁的样子
model-new-blk,病笃欲死，因以送还寺，信宿便差，不肯复归。,差,同“瘥”，病愈
model-new-blk,次度小雪山，遇寒风暴起。慧景噤战不能前。,暴,突然
model-new-cho,常慨经律舛阙，誓志寻求。以晋隆安三年，与同学慧景、道整、慧应、慧嵬等，发自长安。,舛阙,错乱缺失
model-new-cho,举帆二十余日，夜忽大风，合舶震惧。众咸议曰：“坐载此沙门使我等狼狈，不可以一人故，令一众俱亡。”,坐,由于
model-new-trn,法显檀越厉声呵商人曰：“汝若下此沙门亦应下我，不尔便当见杀！”,檀越,施主
model-new-trn,法显檀越厉声呵商人曰：“汝若下此沙门亦应下我，不尔便当见杀！”,下,使……下船（推下船）
model-new-trn,法显檀越厉声呵商人曰：“汝若下此沙门亦应下我，不尔便当见杀！”,见,被（表被动）
model-new-blk,其体裁始则穿穴险固，囚锁怪异，破碎阵敌，卒造平淡而后已。,造,达到/到达/达成
model-new-blk,遂为《散歌》《散传》，以志其散。,志,记录
model-new-cho,时乘小舟，设蓬席，赍一束书，茶灶笔床、钓具，櫂船郎而已。,赍,抱着
model-new-cho,束于礼乐者外之，曰：“此散人也。”,外,鄙弃
model-new-trn,值本即校，不以再三为限。书有编简断坏者缉之，文字谬误者刊之。,值,遇到
model-new-trn,值本即校，不以再三为限。书有编简断坏者缉之，文字谬误者刊之。,缉,修补/缝合
model-new-trn,值本即校，不以再三为限。书有编简断坏者缉之，文字谬误者刊之。,刊,修订/勘正
model-new-blk,都御史王文承振意，劾为故出。先生廷折文,折,指责
model-new-blk,系狱论死，先生读《易》不辍,论,判决、判处
model-new-cho,振有老仆者，山西人也，泣於灶下，振怪问之，曰：“闻薛夫子将刑，故泣耳。”振问：“若何以知有薛夫子？”曰：“乡人也。”具言其平生状。振惘然，立传旨戍边，寻放还家,惘然,怅然若失的样子
model-new-cho,隆庆五年，诏从祀孔庙，称先儒薛子,从祀,配享
model-new-trn,苏、松饥民贷粟不得，火有粟者之庐。王文坐以谋叛，先生抗疏辩之,火,放火焚烧
model-new-trn,苏、松饥民贷粟不得，火有粟者之庐。王文坐以谋叛，先生抗疏辩之,坐,定罪
model-new-trn,苏、松饥民贷粟不得，火有粟者之庐。王文坐以谋叛，先生抗疏辩之,抗疏,上奏章直言辩护
model-new-blk,元丞相伯颜南伐师，次常境,次,驻扎
model-new-blk,即选民之壮勇者三千人，自将乘城,乘,登上
model-new-cho,截纸、缕置盂中，若汤饼状者，以箸引示之,引,挑起
model-new-cho,伯颜让之，曰：“若即尝多杀吾将校者邪？”,让,谴责
model-new-trn,及城，訔等已先至，不得入，反以民叛告,及,到达
model-new-trn,及城，訔等已先至，不得入，反以民叛告,反,返回
model-new-blk,县有疑事辄就公亭质，间使董城垣、学校诸工,董,监督
model-new-blk,令德公入骨髓，戒子孙“无忘路某，路某活我”,德,感激
model-new-cho,即诣令请授甲，愿破贼，谢百姓,谢,告慰
model-new-cho,公受令指，逆诸境,逆,迎接
model-new-trn,公所受事立决，所督治，费省而办，令益器其能，数加旌赉焉,决,解决
model-new-trn,公所受事立决，所督治，费省而办，令益器其能，数加旌赉焉,旌赉,表彰和赏赐
model-new-blk,王君少颖敏苦学，未弱冠以儒充试一不售,充,考取
model-new-blk,今夫身至大官镪盈藏，乃嫂叔矜耰锄、兄弟以故业而斗者岂少哉？,故业,原有基业（祖上传下的家业）
model-new-cho,其后试有司，无一第不高等，且间甲诸同学生，百里之外裹粮而趋学者，无一不就王先生塾,间,间或
model-new-cho,且间甲诸同学生，百里之外裹粮而趋学者，无一不就王先生塾，乃弛担，如是且三十年，数奇矣，然犹以贡拔，此人人能知之，某亦能言之者。,数,命运
model-new-trn,城中大家治园池不少，友人中为诗者亦往往有之，然予不数过也，而特数过君。,治,修建（营建）
model-new-trn,城中大家治园池不少，友人中为诗者亦往往有之，然予不数过也，而特数过君。,数,屡次，多次
model-new-trn,城中大家治园池不少，友人中为诗者亦往往有之，然予不数过也，而特数过君。,特,只，唯独
model-new-blk,献臣雅以奇节自负，名士喜从之游，有衣冠龙门之目。,雅,向来
model-new-blk,而希颜以名义自检，强行而必致之，则与二子为绝异也。,检,检点、约束
model-new-cho,希颜以为天子富于春秋，有能致之资，乃拜章言五事。,资,条件
model-new-cho,希颜上书，以破朝臣孤注之论，谓：“机不可失，小胜不足保，天所予不得不取。”而主兵者沮之，策为不行。,沮,阻止
model-new-trn,大略谓精神为可养，初心为可保，人君以进贤退不肖为职，不宜妄费日力以亲有司之事。,以……为,把……作为
model-new-trn,大略谓精神为可养，初心为可保，人君以进贤退不肖为职，不宜妄费日力以亲有司之事。,进贤退不肖,提拔贤能之人，罢免不称职的官员
model-new-trn,大略谓精神为可养，初心为可保，人君以进贤退不肖为职，不宜妄费日力以亲有司之事。,亲,亲自处理
model-new-blk,居士至性过人，以礼自牧。,牧,修养
model-new-blk,构翼亭于山顶,构,建造
model-new-cho,幻斋公命居士居桃江肄业，久未归省。,肄,学习
model-new-cho,务自韬晦,韬,隐藏
model-new-trn,然未一入棘闱，戚友强之，皆不应，以诸生终。,棘闱,科举考场
model-new-blk,既尽发家藏书读之，不足，则抄之同里世学楼钮氏、南中千顷斋黄氏、吴中绛云楼钱氏。穷年搜讨，游屐所至，遍历通衢委巷，搜鬻故书。,穷,终
model-new-blk,薄暮，一童肩负而返，乘夜丹铅。,薄,接近，迫近
model-new-cho,公谓明人讲学，袭语录之糟粕，不以六经为根柢，束书而从事于游谈，故受业者必先穷经；,束,搁置
model-new-cho,当事之豫于听讲者，则曰：“诸公爱民尽职，即时习之学也。”,豫,预约
model-new-trn,公垂髫读书，即不琐守章句。年十四，随学京邸，忠端公课以举业，公弗甚留意也。,琐,拘泥于
model-new-blk,东魏遣行台薛修义督乙干贵西度，据杨氏壁。,据,占据
model-new-blk,贵等数来慰喻，知端无降意，遂拔还河东。,拔,回转；调转（退兵）
model-new-cho,端率其属，并招喻村人，多设奇兵以临之。,喻,开导
model-new-cho,设官分职，本康时务，苟非其人，不如旷职。,康,治理
model-new-trn,自居选曹，先尽贤能，虽贵游子弟，才劣行薄者，未尝升擢之。,尽,优先任用（或：竭力选拔）
model-new-trn,自居选曹，先尽贤能，虽贵游子弟，才劣行薄者，未尝升擢之。,擢,提拔
model-new-blk,嵘，齐永明中，为国子生，明《周易》。卫将军王俭领祭酒，颇赏接之。,明,通晓/了解/知道
model-new-blk,书奏，上不怿，谓太中大夫顾暠曰：“钟嵘何人，欲断朕机务，卿识之不？”,怿,高兴/愉快/喜悦
model-new-cho,于是郡县及六署九府常行职事，莫不争自启闻，取决诏敕。,启闻,禀报
model-new-cho,古者明君，揆才颁政，量能授职，三公坐而论道，九卿作而成务，天子可恭己南面而已。,揆,估量
model-new-trn,今人主总而亲之，是人主愈劳而人臣愈逸，所谓代庖人宰而为大匠斫也,庖,厨师
model-new-trn,今人主总而亲之，是人主愈劳而人臣愈逸，所谓代庖人宰而为大匠斫也,斫,砍削
model-new-blk,由也不尝不说于夫子乎？夫子虽折之，未尝不重其人曰：‘志意不立，子路侍。’,说,喜欢、欣赏、使……高兴/愉悦
model-new-blk,由也不尝不说于夫子乎？夫子虽折之，未尝不重其人曰：‘志意不立，子路侍。’,折,挫辱、折辱、批评
model-new-cho,即如格物之说，紫阳而在，亦可以此面质。共偕大道而为友，奚不可？,面质,当面询问
model-new-cho,何至以朱、陆同异，聚讼于生前，朱、王同异，又聚讼于身后哉？,聚讼,争论不休
model-new-trn,里居三十年，日以修德明道为事，足未尝诣公庭，所居环堵，讽咏自若。,诣,到……去
model-new-trn,里居三十年，日以修德明道为事，足未尝诣公庭，所居环堵，讽咏自若。,环堵,四面土墙，指狭小简陋的居所
model-new-blk,取道于越，省王公，而后履任。,省,看望
model-new-blk,发奸摘伏，人称神明。,发,揭露
model-new-cho,出诸隽卷取裁。王公阅及先生卷，曰“此必邹某也。”,取裁,选取
model-new-cho,先生亦引疾归侍养。,引,假托
model-new-trn,还里，会程文德徙为其邑令，佐之方田均赋，不避嫌怨。邑民至今赖之。,会,恰逢，正赶上
model-new-trn,还里，会程文德徙为其邑令，佐之方田均赋，不避嫌怨。邑民至今赖之。,徙,调任
model-new-trn,还里，会程文德徙为其邑令，佐之方田均赋，不避嫌怨。邑民至今赖之。,赖,依赖
model-new-blk,父大惊异，恣其所学。,恣,听任、任凭
model-new-blk,先生宦久不显，而名益高。,显,显达、显赫
model-new-cho,倡复古学，得人称盛。,得人,用人得当
model-new-cho,兵熸地削，政府始议变法。,熸,溃败
model-new-trn,于是时论变法，首重兴学，而长沙张文达公奉诏管学，乃引以自助。,论,主张、推行
model-new-trn,于是时论变法，首重兴学，而长沙张文达公奉诏管学，乃引以自助。,引,延请、举荐
model-new-blk,时陈蕃为光禄勋，滂执公仪诣蕃，蕃不止之，滂怀恨，投版弃官而去。,诣,拜访
model-new-blk,复为太尉黄琼所辟，后诏三府掾属举谣言，滂奏刺史、二千石权豪之党二十余人。,辟,征召
model-new-cho,太守宗资先闻其名，请署功曹，委任政事。,署,充任
model-new-cho,滂以非其人，寝而不召。资迁怒，捶书佐朱零。,寝,搁置
model-new-trn,郭林宗闻而让蕃曰：“若范孟博者，岂宜以公礼格之？今成其去就之名，得无自取不优之议也？”,让,责备
model-new-trn,郭林宗闻而让蕃曰：“若范孟博者，岂宜以公礼格之？今成其去就之名，得无自取不优之议也？”,格,约束
